ts,symbol,side,price,filled_qty,attempts
2024-06-26 00:00:00+00:00,BTCUSD_240628,BUY,61879.774999999994,1,1
2024-06-26 00:00:00+00:00,BTCUSD_240927,SELL,63585.87500000001,1,1
2024-06-26 00:15:00+00:00,BTCUSD_240628,BUY,61850.700000000004,35,1
2024-06-26 00:15:00+00:00,BTCUSD_240927,SELL,63534.875,37,2
2024-06-26 00:30:00+00:00,BTCUSD_240628,BUY,61924.9,21,1
2024-06-26 00:30:00+00:00,BTCUSD_240927,SELL,63614.525,22,1
2024-06-26 00:45:00+00:00,BTCUSD_240628,BUY,61790.1,18,1
2024-06-26 00:45:00+00:00,BTCUSD_240927,SELL,63490.125,19,2
2024-06-26 01:00:00+00:00,BTCUSD_240628,BUY,61868.675,23,1
2024-06-26 01:00:00+00:00,BTCUSD_240927,SELL,63547.325,24,2
2024-06-26 01:15:00+00:00,BTCUSD_240628,BUY,62010.2975,31,1
2024-06-26 01:15:00+00:00,BTCUSD_240927,SELL,63695.2025,33,1
2024-06-26 01:30:00+00:00,BTCUSD_240628,BUY,62097.274999999994,50,1
2024-06-26 01:30:00+00:00,BTCUSD_240927,SELL,63823.649999999994,53,1
2024-06-26 01:45:00+00:00,BTCUSD_240628,BUY,62101.450000000004,71,1
2024-06-26 01:45:00+00:00,BTCUSD_240927,SELL,63849.375,75,1
2024-06-26 02:00:00+00:00,BTCUSD_240628,BUY,62203.075,45,1
2024-06-26 02:00:00+00:00,BTCUSD_240927,SELL,63948.225,48,1
2024-06-26 02:15:00+00:00,BTCUSD_240628,BUY,62461.225000000006,63,1
2024-06-26 02:15:00+00:00,BTCUSD_240927,SELL,64238.25,67,1
2024-06-26 02:30:00+00:00,BTCUSD_240628,BUY,62293.2975,61,1
2024-06-26 02:30:00+00:00,BTCUSD_240927,SELL,64065.775,65,1
2024-06-26 02:45:00+00:00,BTCUSD_240628,BUY,62193.25,23,1
2024-06-26 02:45:00+00:00,BTCUSD_240927,SELL,63932.674999999996,24,2
2024-06-26 03:00:00+00:00,BTCUSD_240628,BUY,62148.0,21,1
2024-06-26 03:00:00+00:00,BTCUSD_240927,SELL,63877.09999999999,22,1
2024-06-26 03:15:00+00:00,BTCUSD_240628,BUY,62150.8,24,1
2024-06-26 03:15:00+00:00,BTCUSD_240927,SELL,63883.495,25,1
2024-06-26 03:30:00+00:00,BTCUSD_240628,BUY,62047.7,26,1
2024-06-26 03:30:00+00:00,BTCUSD_240927,SELL,63745.395000000004,27,1
2024-06-26 03:45:00+00:00,BTCUSD_240628,BUY,62070.4,28,1
2024-06-26 03:45:00+00:00,BTCUSD_240927,SELL,63774.5,30,1
2024-06-26 04:00:00+00:00,BTCUSD_240628,BUY,62062.59999999999,12,2
2024-06-26 04:00:00+00:00,BTCUSD_240927,SELL,63784.395000000004,13,1
2024-06-26 04:15:00+00:00,BTCUSD_240628,BUY,61875.5,44,1
2024-06-26 04:15:00+00:00,BTCUSD_240927,SELL,63592.6,46,1
2024-06-26 04:30:00+00:00,BTCUSD_240628,BUY,61893.40000000001,22,1
2024-06-26 04:30:00+00:00,BTCUSD_240927,SELL,63611.2,23,1
2024-06-26 04:45:00+00:00,BTCUSD_240628,BUY,61853.405,45,1
2024-06-26 04:45:00+00:00,BTCUSD_240927,SELL,63591.595,47,2
2024-06-26 05:00:00+00:00,BTCUSD_240628,BUY,61826.3,25,1
2024-06-26 05:00:00+00:00,BTCUSD_240927,SELL,63522.0,26,1
2024-06-26 05:15:00+00:00,BTCUSD_240628,BUY,61906.90000000001,34,1
2024-06-26 05:15:00+00:00,BTCUSD_240927,SELL,63570.5,36,1
2024-06-26 05:30:00+00:00,BTCUSD_240628,BUY,61701.9,67,1
2024-06-26 05:30:00+00:00,BTCUSD_240927,SELL,63333.3,70,1
2024-06-26 05:45:00+00:00,BTCUSD_240628,BUY,61767.3,25,1
2024-06-26 05:45:00+00:00,BTCUSD_240927,SELL,63363.8,26,1
2024-06-26 06:00:00+00:00,BTCUSD_240628,BUY,61682.1,30,1
2024-06-26 06:00:00+00:00,BTCUSD_240927,SELL,63290.09999999999,31,2
2024-06-26 06:15:00+00:00,BTCUSD_240628,BUY,61750.8,33,1
2024-06-26 06:15:00+00:00,BTCUSD_240927,SELL,63336.4,35,1
2024-06-26 06:30:00+00:00,BTCUSD_240628,BUY,61723.005,39,1
2024-06-26 06:30:00+00:00,BTCUSD_240927,SELL,63355.9,41,1
2024-06-26 06:45:00+00:00,BTCUSD_240628,BUY,61675.0,22,1
2024-06-26 06:45:00+00:00,BTCUSD_240927,SELL,63288.0,23,1
2024-06-26 07:00:00+00:00,BTCUSD_240628,BUY,61715.8,22,1
2024-06-26 07:00:00+00:00,BTCUSD_240927,SELL,63312.9,23,1
2024-06-26 07:15:00+00:00,BTCUSD_240628,BUY,61763.09999999999,26,1
2024-06-26 07:15:00+00:00,BTCUSD_240927,SELL,63362.0,27,1
2024-06-26 07:30:00+00:00,BTCUSD_240628,BUY,61758.5,28,1
2024-06-26 07:30:00+00:00,BTCUSD_240927,SELL,63362.2,29,2
2024-06-26 07:45:00+00:00,BTCUSD_240628,BUY,61821.8,55,1
2024-06-26 07:45:00+00:00,BTCUSD_240927,SELL,63432.4,58,1
2024-06-26 08:00:00+00:00,BTCUSD_240628,BUY,61871.4,34,1
2024-06-26 08:00:00+00:00,BTCUSD_240927,SELL,63472.3,36,2
2024-06-26 08:15:00+00:00,BTCUSD_240628,BUY,61680.5,32,1
2024-06-26 08:15:00+00:00,BTCUSD_240927,SELL,63292.0,34,1
2024-06-26 08:30:00+00:00,BTCUSD_240628,BUY,61650.0,52,1
2024-06-26 08:30:00+00:00,BTCUSD_240927,SELL,63241.5,55,1
2024-06-26 08:45:00+00:00,BTCUSD_240628,BUY,61679.40000000001,29,1
2024-06-26 08:45:00+00:00,BTCUSD_240927,SELL,63279.2,30,1
2024-06-26 09:00:00+00:00,BTCUSD_240628,BUY,61581.7,24,1
2024-06-26 09:00:00+00:00,BTCUSD_240927,SELL,63164.09999999999,25,1
2024-06-26 09:15:00+00:00,BTCUSD_240628,BUY,61597.7,30,1
2024-06-26 09:15:00+00:00,BTCUSD_240927,SELL,63176.1,31,1
2024-06-26 09:30:00+00:00,BTCUSD_240628,BUY,61634.505,29,1
2024-06-26 09:30:00+00:00,BTCUSD_240927,SELL,63245.995,30,1
2024-06-26 09:45:00+00:00,BTCUSD_240628,BUY,61518.6,17,1
2024-06-26 09:45:00+00:00,BTCUSD_240927,SELL,63068.4,18,1
2024-06-26 10:00:00+00:00,BTCUSD_240628,BUY,61486.2,28,1
2024-06-26 10:00:00+00:00,BTCUSD_240927,SELL,63089.8,29,1
2024-06-26 10:15:00+00:00,BTCUSD_240628,BUY,61438.0,35,1
2024-06-26 10:15:00+00:00,BTCUSD_240927,SELL,63043.59999999999,37,1
2024-06-26 10:30:00+00:00,BTCUSD_240628,BUY,61398.7,80,1
2024-06-26 10:30:00+00:00,BTCUSD_240927,SELL,62970.4,84,1
2024-06-26 10:45:00+00:00,BTCUSD_240628,BUY,61338.90000000001,48,1
2024-06-26 10:45:00+00:00,BTCUSD_240927,SELL,62915.0,50,1
2024-06-26 11:00:00+00:00,BTCUSD_240628,BUY,61417.59999999999,47,2
2024-06-26 11:00:00+00:00,BTCUSD_240927,SELL,62981.399999999994,49,1
2024-06-26 11:15:00+00:00,BTCUSD_240628,BUY,61646.40000000001,33,1
2024-06-26 11:15:00+00:00,BTCUSD_240927,SELL,63198.5,35,1
2024-06-26 11:30:00+00:00,BTCUSD_240628,BUY,61482.3,30,1
2024-06-26 11:30:00+00:00,BTCUSD_240927,SELL,63061.1,31,1
2024-06-26 11:45:00+00:00,BTCUSD_240628,BUY,61457.90000000001,35,1
2024-06-26 11:45:00+00:00,BTCUSD_240927,SELL,63018.7,37,1
2024-06-26 12:00:00+00:00,BTCUSD_240628,BUY,61536.0,21,1
2024-06-26 12:00:00+00:00,BTCUSD_240927,SELL,63128.1,22,1
2024-06-26 12:15:00+00:00,BTCUSD_240628,BUY,61524.8,36,1
2024-06-26 12:15:00+00:00,BTCUSD_240927,SELL,63084.3,38,3
2024-06-26 12:30:00+00:00,BTCUSD_240628,BUY,61561.3,30,1
2024-06-26 12:30:00+00:00,BTCUSD_240927,SELL,63144.9,31,1
2024-06-26 12:45:00+00:00,BTCUSD_240628,BUY,61464.2,16,1
2024-06-26 12:45:00+00:00,BTCUSD_240927,SELL,63036.40000000001,17,1
2024-06-26 13:00:00+00:00,BTCUSD_240628,BUY,61549.59999999999,85,1
2024-06-26 13:00:00+00:00,BTCUSD_240927,SELL,63100.899999999994,89,1
2024-06-26 13:15:00+00:00,BTCUSD_240628,BUY,61571.0,43,1
2024-06-26 13:15:00+00:00,BTCUSD_240927,SELL,63121.7,45,1
2024-06-26 13:30:00+00:00,BTCUSD_240628,BUY,61624.9,29,2
2024-06-26 13:30:00+00:00,BTCUSD_240927,SELL,63204.59999999999,30,1
2024-06-26 13:45:00+00:00,BTCUSD_240628,BUY,61802.5,57,1
2024-06-26 13:45:00+00:00,BTCUSD_240927,SELL,63280.7,60,1
2024-06-26 14:00:00+00:00,BTCUSD_240628,BUY,61853.4,53,1
2024-06-26 14:00:00+00:00,BTCUSD_240927,SELL,63400.600000000006,56,1
2024-06-26 14:15:00+00:00,BTCUSD_240628,BUY,62024.3,70,1
2024-06-26 14:15:00+00:00,BTCUSD_240927,SELL,63557.59999999999,74,1
2024-06-26 14:30:00+00:00,BTCUSD_240628,BUY,61765.7,62,1
2024-06-26 14:30:00+00:00,BTCUSD_240927,SELL,63324.100000000006,65,1
2024-06-26 14:45:00+00:00,BTCUSD_240628,BUY,61808.3,40,1
2024-06-26 14:45:00+00:00,BTCUSD_240927,SELL,63288.5,42,2
2024-06-26 15:00:00+00:00,BTCUSD_240628,BUY,61839.5,28,1
2024-06-26 15:00:00+00:00,BTCUSD_240927,SELL,63304.899999999994,29,1
